Device,Interface,Speed,State:last1d,State:Current,Last Change,Title,VLANs
KAd-A002-vfswb,Gi3/9,1000000000,free,down,2019-04-23 10:56,A222/D.518 ###39499,
KAd-A002-vfswb,Gi3/10,100000000,used,up,2017-04-25 11:11,A222/D.519 ###39499,
KAd-A002-vfswb,Gi3/11,1000000000,free,down,2020-03-20 14:32,A222/D.520 ###39499,
KAd-A002-vfswb,Gi3/12,1000000000,free,down,2020-06-23 17:34,A222/D.521 ###39499,
KAd-A002-vfswb,Gi3/13,1000000000,free,down,2016-09-09 09:39,A200/D.313 ###39499,
KAd-A002-vfswb,Gi3/14,1000000000,free,down,2022-03-21 16:46,A200/D.314 ###39499,
KAd-A002-vfswb,Gi3/15,1000000000,free,down,2021-06-21 09:19,A200/D.315 ###39499,
KAd-A002-vfswb,Gi3/16,1000000000,free,down,2020-11-03 15:46,A200/D.316 ###39499,
KAd-A002-vfswb,Gi3/17,1000000000,free,down,2017-04-05 15:21,A200/D.317 ###39499,
KAd-A002-vfswb,Gi3/18,1000000000,free,down,2016-06-27 09:11,A200/D.318 ###39499,
KAd-A002-vfswb,Gi3/19,1000000000,free,down,2016-06-23 15:49,A200/D.319 ###39499,
KAd-A002-vfswb,Gi3/20,100000000,used,up,2022-06-23 02:18,A200/D.320 ###39499,
KAd-A002-vfswb,Gi3/21,1000000000,free,down,2015-12-01 13:07,A200/D.321 ###39499,
KAd-A002-vfswb,Gi3/22,1000000000,free,down,2016-07-01 09:42,A200/D.322 ###39499,
KAd-A002-vfswb,Gi3/23,1000000000,used,up,2021-10-24 14:04,A200/D.323 WAP ###39499,
KAd-A002-vfswb,Gi3/24,1000000000,free,down,2015-12-01 13:07,A200/D.324 WAP ###39499,
KAd-A002-vfswb,Gi3/25,1000000000,free,down,2020-03-20 17:01,A222/D.522 ###39499,
KAd-A002-vfswb,Gi3/26,1000000000,free,down,2021-07-14 16:01,A222/D.523 ###39499,
KAd-A002-vfswb,Gi3/27,100000000,used,up,2021-01-06 10:02,A222/D.524 ###39499,
KAd-A002-vfswb,Gi3/28,1000000000,free,down,2015-12-01 13:07,A222/D.304 ###39499,
KAd-A002-vfswb,Gi3/29,1000000000,free,down,2015-12-01 13:07,A222/D.305 ###39499,
